# Offset 	Multiplier
7.340479244855777e-05 5.704760103974577e-06
1.6890556900860753e-05 5.586223731891249e-06
7.389707117282688e-06 6.404170160117717e-06
2.6293782396878273e-05 8.155810819233163e-06
2.186386615608962e-05 7.655102262606007e-06
2.3611399565386005e-05 1.0032429446735912e-05
-1.221332841203927e-05 1.8224939137964885e-05
1.6891588410270837e-05 6.768288199699972e-06
-2.2876835001678116e-06 1.4570458820468016e-05
1.6890342269105906e-05 5.902112094670063e-06
1.092008328437715e-06 9.57338425713068e-06
1.6898828812893072e-05 7.493475225700555e-06
2.2471998284295366e-05 8.536753690756433e-06
1.6904623189206873e-05 7.59806666495621e-06
2.0400616620882777e-05 6.505014285673868e-06
0.0003377804930524031 0.00012472395757536737
0.00027120313973244667 0.0001539875815521139
0.00025091852309568237 0.00012194372909923465
0.00030123669944862876 9.706292707992352e-05
0.0003377814508251535 0.0002713605518659497
0.0005593289198654353 0.00010517513052522151
5.653679173357969e-05 0.0001306619922848855
0.0003857052489659071 0.0001467196579484567
-4.320685099569631e-05 0.00013630283891069285
-0.00036922353890978416 0.00011492565032350281
-0.0023093928545408105 0.00020415073244382017
-0.0010730519153028177 0.00020333194652559503
0.000337944824557659 0.00011647836424881857
-0.0013929868157017346 0.0002537628110213455
0.0005069777557048045 0.00010283856099514885
0.00033794329299700296 0.0001656814207807537
0.0003380412263590651 0.00017468191218294985
