# Offset 	Multiplier
26.854881148936812 16.2178707266598
74.97435840734602 15.628205148205414
18.10381576080091 17.45973589417155
47.96639685334894 22.342626849886443
17.579843997785495 20.26890630945759
26.124591811993007 27.577970959987262
34.226462311216714 43.15470744430857
37.26988488589206 18.998137445592732
17.7964213818844 36.20112583768799
-21.01695350020163 17.653015783127817
7.136200642130219 25.68290052927994
5.092945808318378 18.061338147007927
41.52866941365144 18.106397191981046
15.873147303469203 19.82139480187498
62.67391892573046 17.16560638472884
60.58248297955073 45.716463632675975
5.3546613212221335 51.14967073327863
26.161588557674918 40.4070167809859
32.70506551158369 29.772132423758762
46.832608983597666 80.63347823470092
45.742679080488934 31.61977779102575
21.60247988412853 37.59320204986919
39.896939724429146 45.56700668519199
39.4831970307837 42.086596478983175
16.668614832200078 34.05508781639506
46.594472870750515 42.7221323441711
13.267892235374877 58.780405087735105
45.569337479158136 32.87572816593187
13.132487867134659 59.21687605476243
26.424423932929024 74.52501774007024
39.35856592568899 52.67269102057742
37.26912316187685 50.9340752311568
